name,address,price,psf,description,bedroom,bathroom,carpark
"M Vertica, Taman Maluri, Cheras","Cheras, Kuala Lumpur","RM 1,400",(RM 1.65 per sq. ft.),Condominium  •  Built-up : 850 sq. ft.  •  Partly furnished,3,2,1
"M Vertica, Taman Maluri, Cheras","Cheras, Kuala Lumpur","RM 1,700",(RM 2 per sq. ft.),Condominium  •  Built-up : 850 sq. ft.  •  Partly furnished,3,2,2
"Desa Green, Taman Desa","Taman Desa, Kuala Lumpur","RM 1,800",(RM 2.52 per sq. ft.),Serviced Residence | Studio  •  Built-up : 715 sq. ft.  •  Fully furnished,2,2,1
"Arcoris Residences, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 5,000",(RM 5.51 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 907 sq. ft.  •  Fully furnished,2,2,1
"Desa Green, Taman Desa","Taman Desa, Kuala Lumpur","RM 1,400",(RM 2.42 per sq. ft.),Serviced Residence  •  Built-up : 578 sq. ft.  •  Fully furnished,1,1,1
"Nidoz Residences @ Desa Petaling, Desa Petaling, KL City","KL City, Kuala Lumpur","RM 3,500",(RM 2.49 per sq. ft.),"Condominium | Corner lot  •  Built-up : 1,405 sq. ft.  •  Fully furnished",5,3,2
"The Park Sky Residence, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 4,800",(RM 3.07 per sq. ft.),"Serviced Residence | Corner lot  •  Built-up : 1,565 sq. ft.  •  Fully furnished",3+1,4,2
"The Park Sky Residence, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 3,200",(RM 2.9 per sq. ft.),"Serviced Residence | Corner lot  •  Built-up : 1,103 sq. ft.  •  Fully furnished",3,2,2
"The Park Sky Residence, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 3,000",(RM 2.87 per sq. ft.),"Serviced Residence | Corner lot  •  Built-up : 1,044 sq. ft.  •  Fully furnished",3,2,2
"The Park Sky Residence, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,500",(RM 2.62 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 953 sq. ft.  •  Fully furnished,2,2,1
"Pavilion Residences, Bukit Bintang","Bukit Bintang, Kuala Lumpur","RM 6,000",(RM 4.86 per sq. ft.),"Serviced Residence | Intermediate  •  Built-up : 1,234 sq. ft.  •  Fully furnished",2,2,1
"NOVUM, Kampung Kerinchi, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 4,000",(RM 3.89 per sq. ft.),"Serviced Residence  •  Built-up : 1,027 sq. ft.  •  Fully furnished",3,2,2
"NOVUM, Kampung Kerinchi, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 5,500",(RM 4 per sq. ft.),"Serviced Residence | Corner lot  •  Built-up : 1,376 sq. ft.  •  Fully furnished",3,3,2
"i-Zen @ Kiara 2, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 4,500",(RM 2.89 per sq. ft.),"Serviced Residence | Intermediate  •  Built-up : 1,557 sq. ft.  •  Fully furnished",3+1,3,2
"Marc Residence, KLCC","KLCC, Kuala Lumpur","RM 4,000",(RM 3.88 per sq. ft.),"Serviced Residence | Corner lot  •  Built-up : 1,030 sq. ft.  •  Fully furnished",2,2,1
"South View, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 3,200",(RM 2.93 per sq. ft.),"Serviced Residence | Intermediate  •  Built-up : 1,092 sq. ft.  •  Fully furnished",3,2,1
"South View, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 2,500",(RM 3.04 per sq. ft.),Serviced Residence | Intermediate  •  Built-up : 823 sq. ft.  •  Fully furnished,2,2,1
"Anggun Residences, KLCC","KLCC, Kuala Lumpur","RM 4,000",(RM 3.18 per sq. ft.),"Condominium  •  Built-up : 1,259 sq. ft.  •  Fully furnished",2+1,2,2
"Mont Kiara Pines, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 3,000",(RM 2.34 per sq. ft.),"Condominium | Corner lot  •  Built-up : 1,280 sq. ft.  •  Fully furnished",3,2,1
"Banyan Tree Signatures, KLCC","KLCC, Kuala Lumpur","RM 6,000",(RM 5.58 per sq. ft.),"Serviced Residence  •  Built-up : 1,076 sq. ft.  •  Fully furnished",1+1,2,1
"The Estate, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 10,500",(RM 4.16 per sq. ft.),"Condominium | Corner lot  •  Built-up : 2,525 sq. ft.  •  Partly furnished",4+2,6,3
"38 Bidara Condominium, KLCC","KLCC, Kuala Lumpur",RM 790,(RM 2.63 per sq. ft.),Serviced Residence  •  Built-up : 300 sq. ft.  •  Fully furnished,1,1,
"Twy Duplex Condos, Mont Kiara","Mont Kiara, Kuala Lumpur","RM 2,800",(RM 3.41 per sq. ft.),Condominium  •  Built-up : 821 sq. ft.  •  Fully furnished,2,1,1
"The Era, Dutamas","Dutamas, Kuala Lumpur","RM 2,300",(RM 2.58 per sq. ft.),Serviced Residence  •  Built-up : 893 sq. ft.  •  Fully furnished,2,2,2
"Bukit Damansara, Damansara Heights","Damansara Heights, Kuala Lumpur","RM 9,800",(RM 2.18 per sq. ft.),"Bungalow | Intermediate  •  Built-up : 4,500 sq. ft.  •  Partly furnished",4+1,4,6
"UNA, Cheras","Cheras, Kuala Lumpur","RM 2,900",(RM 2.75 per sq. ft.),"Serviced Residence | Intermediate  •  Built-up : 1,055 sq. ft.  •  Fully furnished",2,2,2
"Savio @ Riana Dutamas, Dutamas","Dutamas, Kuala Lumpur","RM 1,800",(RM 2.11 per sq. ft.),Serviced Residence  •  Built-up : 853 sq. ft.,2,2,1
"Service Suites @ Pavilion Embassy, Kampung Datuk Keramat, Keramat","Keramat, Kuala Lumpur","RM 4,200",(RM 3.83 per sq. ft.),"Serviced Residence | Studio  •  Built-up : 1,098 sq. ft.  •  Fully furnished",2,2,1
"Star Residences Two, KLCC","KLCC, Kuala Lumpur","RM 3,400",(RM 4.81 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 707 sq. ft.  •  Fully furnished,1,1,1
"Angkasa Condominiums, Taman Connaught, Cheras","Cheras, Kuala Lumpur","RM 1,699",(RM 1.79 per sq. ft.),Condominium  •  Built-up : 950 sq. ft.,3,2,1
"The Era, Dutamas","Dutamas, Kuala Lumpur","RM 2,000",(RM 2.4 per sq. ft.),Serviced Residence  •  Built-up : 833 sq. ft.  •  Partly furnished,2,2,2
"UNA, Cheras","Cheras, Kuala Lumpur","RM 2,900",(RM 2.75 per sq. ft.),"Serviced Residence | Intermediate  •  Built-up : 1,055 sq. ft.  •  Fully furnished",2,2,2
