name,price,psf,district,state,type,details,area,bedroom,bathroom,carpark
"M Vertica, Taman Maluri, Cheras",1400,1.65,Cheras,Kuala Lumpur,Condominium,Default,850,3,2,1
"M Vertica, Taman Maluri, Cheras",1700,2.0,Cheras,Kuala Lumpur,Condominium,Default,850,3,2,2
"Desa Green, Taman Desa",1800,2.52,Taman Desa,Kuala Lumpur,Serviced Residence,Studio,715,2,2,1
"Arcoris Residences, Mont Kiara",5000,5.51,Mont Kiara,Kuala Lumpur,Serviced Residence,Intermediate,907,2,2,1
"Desa Green, Taman Desa",1400,2.42,Taman Desa,Kuala Lumpur,Serviced Residence,Default,578,1,1,1
"Nidoz Residences @ Desa Petaling, Desa Petaling, KL City",3500,2.49,KL City,Kuala Lumpur,Condominium,Corner lot,1405,5,3,2
"The Park Sky Residence, Bukit Jalil",4800,3.07,Bukit Jalil,Kuala Lumpur,Serviced Residence,Corner lot,1565,4,4,2
"The Park Sky Residence, Bukit Jalil",3200,2.9,Bukit Jalil,Kuala Lumpur,Serviced Residence,Corner lot,1103,3,2,2
"The Park Sky Residence, Bukit Jalil",3000,2.87,Bukit Jalil,Kuala Lumpur,Serviced Residence,Corner lot,1044,3,2,2
"The Park Sky Residence, Bukit Jalil",2500,2.62,Bukit Jalil,Kuala Lumpur,Serviced Residence,Corner lot,953,2,2,1
"Pavilion Residences, Bukit Bintang",6000,4.86,Bukit Bintang,Kuala Lumpur,Serviced Residence,Intermediate,1234,2,2,1
"NOVUM, Kampung Kerinchi, Kampung Kerinchi (Bangsar South)",4000,3.89,Kampung Kerinchi (Bangsar South),Kuala Lumpur,Serviced Residence,Default,1027,3,2,2
"NOVUM, Kampung Kerinchi, Kampung Kerinchi (Bangsar South)",5500,4.0,Kampung Kerinchi (Bangsar South),Kuala Lumpur,Serviced Residence,Corner lot,1376,3,3,2
"i-Zen @ Kiara 2, Mont Kiara",4500,2.89,Mont Kiara,Kuala Lumpur,Serviced Residence,Intermediate,1557,4,3,2
"Marc Residence, KLCC",4000,3.88,KLCC,Kuala Lumpur,Serviced Residence,Corner lot,1030,2,2,1
"South View, Bangsar South, Kampung Kerinchi (Bangsar South)",3200,2.93,Kampung Kerinchi (Bangsar South),Kuala Lumpur,Serviced Residence,Intermediate,1092,3,2,1
"South View, Bangsar South, Kampung Kerinchi (Bangsar South)",2500,3.04,Kampung Kerinchi (Bangsar South),Kuala Lumpur,Serviced Residence,Intermediate,823,2,2,1
"Anggun Residences, KLCC",4000,3.18,KLCC,Kuala Lumpur,Condominium,Default,1259,3,2,2
"Mont Kiara Pines, Mont Kiara",3000,2.34,Mont Kiara,Kuala Lumpur,Condominium,Corner lot,1280,3,2,1
"Banyan Tree Signatures, KLCC",6000,5.58,KLCC,Kuala Lumpur,Serviced Residence,Default,1076,2,2,1
"The Estate, Kampung Kerinchi (Bangsar South)",10500,4.16,Kampung Kerinchi (Bangsar South),Kuala Lumpur,Condominium,Corner lot,2525,6,6,3
"38 Bidara Condominium, KLCC",790,2.63,KLCC,Kuala Lumpur,Serviced Residence,Default,300,1,1,0
"Twy Duplex Condos, Mont Kiara",2800,3.41,Mont Kiara,Kuala Lumpur,Condominium,Default,821,2,1,1
"The Era, Dutamas",2300,2.58,Dutamas,Kuala Lumpur,Serviced Residence,Default,893,2,2,2
"Bukit Damansara, Damansara Heights",9800,2.18,Damansara Heights,Kuala Lumpur,Bungalow,Intermediate,4500,5,4,6
"UNA, Cheras",2900,2.75,Cheras,Kuala Lumpur,Serviced Residence,Intermediate,1055,2,2,2
"Savio @ Riana Dutamas, Dutamas",1800,2.11,Dutamas,Kuala Lumpur,Serviced Residence,Default,853,2,2,1
