name,price,psf,address,description,bedroom,bathroom,carpark
"The Park Sky Residence, Bukit Jalil","RM1,150,000",(RM 1042.61 per sq. ft.),"Bukit Jalil, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 1,103 sq. ft.  •  Partly furnished",3,2,2
"Bukit Damansara, Damansara Heights","RM1,650,000",(RM 717.39 per sq. ft.),"Damansara Heights, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,300 sq. ft.  •  Partly furnished",4,3,2
"The Binjai on the Park, KL City Centre, KLCC","RM6,888,888",(RM 2140.74 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,218 sq. ft.  •  Partly furnished",3+1,4,3
"AMELIA, DESA PARKCITY, Desa ParkCity","RM2,700,000",(RM 1026.62 per sq. ft.),"Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,630 sq. ft.  •  Partly furnished",3+1,4,2
"AMELIA, DESA PARKCITY, Desa ParkCity","RM2,800,000",(RM 1076.92 per sq. ft.),"Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,600 sq. ft.  •  Fully furnished",3+1,4,2
"Aira Residence, Damansara Heights","RM7,800,000",(RM 1737.58 per sq. ft.),"Damansara Heights, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 4,489 sq. ft.  •  Partly furnished",4+1,6,3
"Sri Putramas III / Royal Regent, Jalan Kuching","RM667,800",(RM 420 per sq. ft.),"Jalan Kuching, Kuala Lumpur","Condominium  •  Built-up : 1,590 sq. ft.  •  Partly furnished",3+1,2,2
"Agile Mont Kiara, Mont Kiara","RM2,000,000",(RM 893.66 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,238 sq. ft.  •  Fully furnished",4,1,3
"Agile Mont Kiara, Mont Kiara","RM1,400,000",(RM 873.36 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,603 sq. ft.",3+1,4,2
"Taman Len Seng, Cheras","RM768,000",(RM 537.06 per sq. ft.),"Cheras, Kuala Lumpur","2-sty Terrace/Link House | End lot  •  Built-up : 1,430 sq. ft.  •  Unfurnished",4,3,2
"Bukit Pantai Bangsar, Bangsar","RM6,200,000",(RM 1240 per sq. ft.),"Bangsar, Kuala Lumpur","Bungalow | Intermediate  •  Built-up : 5,000 sq. ft.  •  Partly furnished",5+1,5,4
Damansara Heights,"RM3,800,000",(RM 1266.67 per sq. ft.),"Damansara Heights, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 3,000 sq. ft.  •  Unfurnished",4+1,4,3
"Safa Terrace, Desa ParkCity, Desa ParkCity","RM2,550,000",(RM 1108.7 per sq. ft.),"Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,300 sq. ft.",4+1,3,2
"Kenny Hills, Bukit Tunku (Kenny Hills)","RM9,800,000",(RM 3266.67 per sq. ft.),"Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow | Intermediate  •  Built-up : 3,000 sq. ft.  •  Unfurnished",3,3,5
"Bukit Damansara, Damansara Heights","RM5,980,000",(RM 1196 per sq. ft.),"Damansara Heights, Kuala Lumpur","Bungalow | Intermediate  •  Built-up : 5,000 sq. ft.  •  Partly furnished",5+1,6,2
