name,price,psf,district,state,type,details,area,bedroom,bathroom,carpark
"The Park Sky Residence, Bukit Jalil",1150000,1042.61,Bukit Jalil,Kuala Lumpur,Serviced Residence,Corner lot,1103,3,2,2
"Bukit Damansara, Damansara Heights",1650000,717.39,Damansara Heights,Kuala Lumpur,2-sty Terrace/Link House,Intermediate,2300,4,3,2
"The Binjai on the Park, KL City Centre, KLCC",6888888,2140.74,KLCC,Kuala Lumpur,Condominium,Corner lot,3218,4,4,3
"AMELIA, DESA PARKCITY, Desa ParkCity",2700000,1026.62,Desa ParkCity,Kuala Lumpur,2-sty Terrace/Link House,Default,2630,4,4,2
"AMELIA, DESA PARKCITY, Desa ParkCity",2800000,1076.92,Desa ParkCity,Kuala Lumpur,2-sty Terrace/Link House,Default,2600,4,4,2
"Aira Residence, Damansara Heights",7800000,1737.58,Damansara Heights,Kuala Lumpur,Condominium,Intermediate,4489,5,6,3
"Sri Putramas III / Royal Regent, Jalan Kuching",667800,420.0,Jalan Kuching,Kuala Lumpur,Condominium,Default,1590,4,2,2
"Agile Mont Kiara, Mont Kiara",2000000,893.66,Mont Kiara,Kuala Lumpur,Condominium,Default,2238,4,1,3
"Agile Mont Kiara, Mont Kiara",1400000,873.36,Mont Kiara,Kuala Lumpur,Condominium,Default,1603,4,4,2
"Taman Len Seng, Cheras",768000,537.06,Cheras,Kuala Lumpur,2-sty Terrace/Link House,End lot,1430,4,3,2
"Bukit Pantai Bangsar, Bangsar",6200000,1240.0,Bangsar,Kuala Lumpur,Bungalow,Intermediate,5000,6,5,4
Damansara Heights,3800000,1266.67,Damansara Heights,Kuala Lumpur,Semi-detached House,Intermediate,3000,5,4,3
"Safa Terrace, Desa ParkCity, Desa ParkCity",2550000,1108.7,Desa ParkCity,Kuala Lumpur,2-sty Terrace/Link House,Default,2300,5,3,2
"Kenny Hills, Bukit Tunku (Kenny Hills)",9800000,3266.67,Bukit Tunku (Kenny Hills),Kuala Lumpur,Bungalow,Intermediate,3000,3,3,5
"Bukit Damansara, Damansara Heights",5980000,1196.0,Damansara Heights,Kuala Lumpur,Bungalow,Intermediate,5000,6,6,2
"Tiffani Kiara, Mont Kiara",1250000,553.83,Mont Kiara,Kuala Lumpur,Condominium,Default,2257,4,4,2
"The Rainz, Bukit Jalil",1100000,620.77,Bukit Jalil,Kuala Lumpur,Condominium,Default,1772,5,4,4
"Residensi 22, Mont Kiara",2100000,1039.6,Mont Kiara,Kuala Lumpur,Condominium,Corner lot,2020,4,3,2
"The Era, Dutamas",415000,642.41,Dutamas,Kuala Lumpur,Serviced Residence,Default,646,2,1,1
"Laman Residen, Taman Residensi, Nova, Tasik Indah, Jalan Ipoh",1390000,330.95,Jalan Ipoh,Kuala Lumpur,Semi-detached House,Intermediate,4200,5,5,3
"U Thant, KL City",32000000,1612.25,KL City,Kuala Lumpur,Bungalow,Default,19848,9,9,0
"Zehn Bukit Pantai, Taman Bukit Pantai, Bangsar",2000000,656.6,Bangsar,Kuala Lumpur,Condominium,Corner lot,3046,6,6,2
"Zehn Bukit Pantai, Taman Bukit Pantai, Bangsar",2050000,584.21,Bangsar,Kuala Lumpur,Condominium,Corner lot,3509,6,6,3
"KL Traders Square, Setapak",458000,487.23,Setapak,Kuala Lumpur,Serviced Residence,Default,940,4,2,2
"Zehn Bukit Pantai, Taman Bukit Pantai, Bangsar",2750000,783.7,Bangsar,Kuala Lumpur,Condominium,Corner lot,3509,6,6,3
"The Pearl KLCC, KL, KLCC",3900000,981.63,KLCC,Kuala Lumpur,Condominium,Default,3973,4,6,3
"Four Seasons Place, KLCC",6000000,2444.99,KLCC,Kuala Lumpur,Condominium,Corner lot,2454,4,4,2
"The Binjai on the Park, KL City Centre, KLCC",6000000,1864.51,KLCC,Kuala Lumpur,Condominium,Corner lot,3218,6,4,2
"The Ritz-Carlton Residences, KLCC",2850000,1898.73,KLCC,Kuala Lumpur,Serviced Residence,Corner lot,1501,2,2,2
"The Ritz-Carlton Residences, KLCC",5900000,2732.75,KLCC,Kuala Lumpur,Serviced Residence,Penthouse,2159,4,3,3
"Eaton Residence, KLCC",1100000,1419.35,KLCC,Kuala Lumpur,Serviced Residence,Intermediate,775,2,1,1
"Eaton Residence, KLCC",950000,1496.06,KLCC,Kuala Lumpur,Serviced Residence,Intermediate,635,1,1,1
