"type","type_copy"
"Condominium","Condominium"
"Serviced Residence","Serviced Residence"
"Bungalow","Bungalow"
"3-sty Terrace/Link House","3-sty Terrace/Link House"
"Apartment","Apartment"
"2-sty Terrace/Link House","2-sty Terrace/Link House"
"2.5-sty Terrace/Link House","2.5-sty Terrace/Link House"
"Townhouse","Townhouse"
"Semi-detached House","Semi-detached House"
"1-sty Terrace/Link House","1-sty Terrace/Link House"
"3.5-sty Terrace/Link House","3.5-sty Terrace/Link House"
"4-sty Terrace/Link House","4-sty Terrace/Link House"
"1.5-sty Terrace/Link House","1.5-sty Terrace/Link House"
"Cluster House","Cluster House"
"Flat","Flat"
"",""
